NUM_PASAJEROS;ANIO;MES;DIA;EsEscolar;EsFestivo
82228;2019;2;23;1;0
62560;2019;2;24;1;0
142479;2019;2;25;1;0
141974;2019;2;26;1;0
141016;2019;2;27;1;0
141176;2019;2;28;1;0
141667;2019;3;1;1;0
92728;2019;3;2;1;0
90542;2019;3;3;1;0
122478;2019;3;4;1;0
98696;2019;3;5;1;0
121984;2019;3;6;1;0
126336;2019;3;7;1;0
129622;2019;3;8;1;0
108658;2019;3;9;1;0
76614;2019;3;10;1;0
140697;2019;3;11;1;0
138993;2019;3;12;1;0
138726;2019;3;13;1;0
139087;2019;3;14;1;0
140789;2019;3;15;1;0
85169;2019;3;16;1;0
64159;2019;3;17;1;0
137967;2019;3;18;1;0
136394;2019;3;19;1;0
136682;2019;3;20;1;0
135856;2019;3;21;1;0
135878;2019;3;22;1;0
82618;2019;3;23;1;0
61675;2019;3;24;1;0
125676;2019;3;25;1;0
137426;2019;3;26;1;0
136067;2019;3;27;1;0
135017;2019;3;28;1;0
126897;2019;3;29;1;0
83197;2019;3;30;1;0
59570;2019;3;31;1;0
132054;2019;4;1;1;0
122582;2019;4;2;1;0
133626;2019;4;3;1;0
131847;2019;4;4;1;0
135830;2019;4;5;1;0
80015;2019;4;6;1;0
61281;2019;4;7;1;0
135361;2019;4;8;1;0
134173;2019;4;9;1;0
137609;2019;4;10;1;0
134497;2019;4;11;1;0
135262;2019;4;12;1;0
79665;2019;4;13;1;0
63912;2019;4;14;1;0
121368;2019;4;15;1;0
120058;2019;4;16;1;0
114413;2019;4;17;1;0
70599;2019;4;18;1;0
60948;2019;4;19;1;0
74130;2019;4;20;1;0
58964;2019;4;21;1;0
129553;2019;4;22;1;0
128743;2019;4;23;1;0
131287;2019;4;24;1;0
136777;2019;4;25;1;0
134275;2019;4;26;1;0
81336;2019;4;27;1;0
63650;2019;4;28;1;0
135254;2019;4;29;1;0
140490;2019;4;30;1;0
66621;2019;5;1;1;0
132239;2019;5;2;1;0
104874;2019;5;3;1;0
84984;2019;5;4;1;0
